Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay,DateTimeUnix,_PAIR_ID,_DELTA_PAIRPRICE,_DELTA_TOTALASSETLOCKED,_DELTA_TOTALADALOCKED,_DELTA_DATETIME_SECONDS,_DELTA_DATETIME_MINUTES
SUNDAE/ADA,0.3,0.656333,18959279.47,12443603.15,815402.19,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,SUNDAE/ADA_0.3,,,,,
LQ/ADA,0.3,73.940162,116968.87,8648697.29,902727.21,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,LQ/ADA_0.3,,,,,
WMT/ADA,0.3,0.668082,8634990.95,5768885.35,653021.69,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,WMT/ADA_0.3,,,,,
PAVIA/ADA,0.3,0.106211,11930680.0,1267174.93,136408.23,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,PAVIA/ADA_0.3,,,,,
XRAY/ADA,0.3,0.166781,6105011.0,1018205.01,154472.07,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,XRAY/ADA_0.3,,,,,
ADAX/ADA,0.3,0.353606,2432572.0,860172.88,59928.33,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,ADAX/ADA_0.3,,,,,
AADA/ADA,0.3,1.771415,394867.82,699475.14,319212.65,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,AADA/ADA_0.3,,,,,
MELD/ADA,0.3,0.12941,4436124.6,574081.23,496266.46,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MELD/ADA_0.3,,,,,
VYFI/ADA,0.3,1.827088,305521.74,558215.16,61601.74,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,VYFI/ADA_0.3,,,,,
MILK/ADA,0.3,5.429988,55514.0,301440.38,242442.58,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MILK/ADA_0.3,,,,,
CLAP/ADA,0.3,0.03859,5276293.47,203614.77,85331.76,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,CLAP/ADA_0.3,,,,,
MINt/ADA,0.3,0.09328,1928036.86,179847.42,93597.45,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MINt/ADA_0.3,,,,,
CHRLZ/ADA,0.3,0.0,6265514729812.0,169689.17,1849.21,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,CHRLZ/ADA_0.3,,,,,
WMT/ADA,0.05,0.614993,177367.81,109079.97,0.0,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,WMT/ADA_0.05,,,,,
BISON/ADA,0.3,0.0,93801288523492.0,109063.36,6637.86,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,BISON/ADA_0.3,,,,,
ASHIB/ADA,1.0,3e-05,3264961289.99,99451.28,8461.33,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,ASHIB/ADA_1.0,,,,,
DANA/ADA,0.05,2.207493,44705.25,98686.56,49067.03,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,DANA/ADA_0.05,,,,,
MELD/ADA,1.0,0.237669,378631.82,89989.1,0.0,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MELD/ADA_1.0,,,,,
FIRE/ADA,0.3,0.029453,2878719.0,84787.22,66518.73,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,FIRE/ADA_0.3,,,,,
HOSKY/ADA,0.3,0.0,1020463787497.0,75642.93,39346.35,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,HOSKY/ADA_0.3,,,,,
CNFT/ADA,0.3,0.01362,3746681.0,51030.26,26425.12,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,CNFT/ADA_0.3,,,,,
MIN/ADA,0.3,0.324371,154959.63,50264.43,64579.3,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MIN/ADA_0.3,,,,,
FLICK/ADA,0.3,0.004822,8504799.0,41011.74,1084.65,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,FLICK/ADA_0.3,,,,,
cNETA/ADA,0.3,0.047615,687355.0,32729.0,37292.1,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,cNETA/ADA_0.3,,,,,
REVU/ADA,0.3,0.098784,318800.82,31492.6,12219.24,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,REVU/ADA_0.3,,,,,
unsi…en/ADA,1.0,81.668789,297.0,24255.63,2479.15,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,unsi…en/ADA_1.0,,,,,
MIN/ADA,0.05,0.277158,78313.51,21705.24,8258.36,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MIN/ADA_0.05,,,,,
BDOGE/ADA,1.0,0.004484,4717799.0,21157.53,2402.33,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,BDOGE/ADA_1.0,,,,,
MINt/ADA,0.05,0.085336,242367.33,20682.82,3628.19,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MINt/ADA_0.05,,,,,
RAG/ADA,1.0,0.000713,28799497.0,20544.75,209.46,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,RAG/ADA_1.0,,,,,
CDX/ADA,1.0,0.414711,48529.0,20125.53,2857.55,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,CDX/ADA_1.0,,,,,
GOKEY/ADA,0.3,0.016202,1146453.0,18575.22,1453.79,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,GOKEY/ADA_0.3,,,,,
DRIP/ADA,1.0,0.002541,6453386.18,16400.09,5056.56,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,DRIP/ADA_1.0,,,,,
XDIA…ND/ADA,1.0,21.986488,698.0,15346.56,3332.25,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,XDIA…ND/ADA_1.0,,,,,
RAVE/ADA,1.0,0.004804,2835814.0,13625.27,14030.28,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,RAVE/ADA_1.0,,,,,
CARGO/ADA,0.3,0.295564,42554.83,12577.68,1388.86,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,CARGO/ADA_0.3,,,,,
cMETA/ADA,0.3,0.020679,593364.0,12270.44,372.09,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,cMETA/ADA_0.3,,,,,
DANA/ADA,0.3,2.188129,5401.65,11819.51,5202.42,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,DANA/ADA_0.3,,,,,
Card…rm/ADA,0.3,0.109152,97824.0,10677.76,0.0,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,Card…rm/ADA_0.3,,,,,
WMT/ADA,1.0,0.563914,18907.95,10662.47,0.0,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,WMT/ADA_1.0,,,,,
HOSKY/ADA,0.05,0.0,130656456405.0,10194.92,644.27,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,HOSKY/ADA_0.05,,,,,
cbTHC/ADA,0.3,0.054854,185441.68,10172.37,3614.03,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,cbTHC/ADA_0.3,,,,,
FLANO/ADA,1.0,0.001153,7465827.0,8614.33,0.0,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,FLANO/ADA_1.0,,,,,
MEOW/ADA,0.3,0.0,21329480982.0,8304.99,82.75,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,MEOW/ADA_0.3,,,,,
YAY/ADA,1.0,0.029105,261724.0,7617.57,3887.43,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,YAY/ADA_1.0,,,,,
SHIBA/ADA,1.0,2.6e-05,285130470.0,7561.59,11405.92,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,SHIBA/ADA_1.0,,,,,
FIRE/ADA,1.0,0.000168,43194455.0,7283.47,1418.71,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,FIRE/ADA_1.0,,,,,
DRIP/ADA,0.3,0.002509,2732971.37,6859.41,440.92,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,DRIP/ADA_0.3,,,,,
SKULL/ADA,1.0,0.085654,74749.0,6402.62,2711.7,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,SKULL/ADA_1.0,,,,,
Growth/ADA,1.0,0.016496,367881.0,6068.56,5247.86,2022-02-08 20:11:21.366693,2022-02-08,20:11:21,1211,1644361881,Growth/ADA_1.0,,,,,
SUNDAE/ADA,0.3,0.656376,18968146.68,12450239.87,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,SUNDAE/ADA_0.3,4.2999999999904226e-05,8867.210000000894,6636.719999998808,3021.0,50.35
LQ/ADA,0.3,73.941861,117611.68,8696426.64,899842.57,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,LQ/ADA_0.3,0.0016990000000021155,642.8099999999977,47729.35000000149,3021.0,50.35
WMT/ADA,0.3,0.668905,8634183.03,5775456.19,684849.38,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,WMT/ADA_0.3,0.0008230000000000182,-807.9199999999255,6570.840000000782,3021.0,50.35
PAVIA/ADA,0.3,0.105194,11982557.0,1260504.54,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,PAVIA/ADA_0.3,-0.001017000000000004,51877.0,-6670.389999999898,3021.0,50.35
XRAY/ADA,0.3,0.166929,6102522.0,1018688.47,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,XRAY/ADA_0.3,0.00014799999999998148,-2489.0,483.45999999996275,3021.0,50.35
ADAX/ADA,0.3,0.354485,2429871.0,861353.34,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,ADAX/ADA_0.3,0.0008790000000000187,-2701.0,1180.4599999999627,3021.0,50.35
AADA/ADA,0.3,1.783754,393501.99,701910.8,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,AADA/ADA_0.3,0.0123390000000001,-1365.8300000000163,2435.6600000000326,3021.0,50.35
MELD/ADA,0.3,0.134961,4351867.31,587334.11,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,MELD/ADA_0.3,0.005551,-84257.29000000004,13252.880000000005,3021.0,50.35
VYFI/ADA,0.3,1.827088,305521.74,558215.16,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,VYFI/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
MILK/ADA,0.3,5.634942,54514.0,307183.26,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,MILK/ADA_0.3,0.20495399999999986,-1000.0,5742.880000000005,3021.0,50.35
CLAP/ADA,0.3,0.038874,5257042.01,204362.89,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,CLAP/ADA_0.3,0.00028399999999999953,-19251.459999999963,748.1200000000244,3021.0,50.35
MINt/ADA,0.3,0.091618,1945716.79,178263.21,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,MINt/ADA_0.3,-0.0016619999999999968,17679.929999999935,-1584.210000000021,3021.0,50.35
CHRLZ/ADA,0.3,0.0,6267962229812.0,169623.11,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,CHRLZ/ADA_0.3,0.0,2447500000.0,-66.06000000002678,3021.0,50.35
BISON/ADA,0.3,0.0,93801288523492.0,109063.36,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,BISON/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
WMT/ADA,0.05,0.614993,177285.04,109029.06,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,WMT/ADA_0.05,0.0,-82.76999999998952,-50.91000000000349,3021.0,50.35
ASHIB/ADA,1.0,3e-05,3275122952.54,99760.81,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,ASHIB/ADA_1.0,0.0,10161662.55000019,309.52999999999884,3021.0,50.35
DANA/ADA,0.05,2.13017,45509.59,96943.21,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,DANA/ADA_0.05,-0.07732299999999981,804.3399999999965,-1743.3499999999913,3021.0,50.35
MELD/ADA,1.0,0.237669,378631.82,89989.1,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,MELD/ADA_1.0,0.0,0.0,0.0,3021.0,50.35
FIRE/ADA,0.3,0.029453,2878719.0,84787.22,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,FIRE/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
HOSKY/ADA,0.3,0.0,1013753191601.0,76118.61,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,HOSKY/ADA_0.3,0.0,-6710595896.0,475.68000000000757,3021.0,50.35
CNFT/ADA,0.3,0.01362,3746681.0,51030.26,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,CNFT/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
MIN/ADA,0.3,0.33333,152865.96,50954.93,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,MIN/ADA_0.3,0.008958999999999995,-2093.670000000013,690.5,3021.0,50.35
FLICK/ADA,0.3,0.004822,8504799.0,41011.74,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,FLICK/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
cNETA/ADA,0.3,0.047615,687403.0,32731.24,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,cNETA/ADA_0.3,0.0,48.0,2.2400000000016007,3021.0,50.35
REVU/ADA,0.3,0.098784,318800.82,31492.6,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,REVU/ADA_0.3,0.0,0.0,0.0,3021.0,50.35
unsi…en/ADA,1.0,81.668789,297.0,24255.63,0.0,2022-02-08 21:01:42.881360,2022-02-08,21:01:42,1261,1644364902,unsi…en/ADA_1.0,0.0,0.0,0.0,3021.0,50.35
